NAME ,PRICE ,24H CHANGE ,24H VOLUME ,MARKET CAP 
Bitcoin,"$17,075.21",+0.07%,$16.31 B,$325.82 B
Ethereum,"$1,283.67",-0.96%,$5.34 B,$155.32 B
Tether,$1.02,-0.01%,$22.03 B,$65.44 B
BNB,$295.30,+0.44%,$677.3 M,$46.57 B
USD Coin,$1.00,-0.01%,$1.94 B,$43.25 B
Binance USD,$1.00,-0.04%,$4.98 B,$22.15 B
XRP,$0.3996,+1.47%,$531.23 M,$19.79 B
Dogecoin,$0.1033,+3.37%,$617.72 M,$13.51 B
Cardano,$0.328,+2.17%,$225.67 M,$11.13 B
Polygon,$0.9362,+1.00%,$282.27 M,$8.06 B
Polkadot,$5.64,-1.13%,$225.72 M,$6.34 B
Dai,$1.01,-0.04%,$152.06 M,$5.69 B
Litecoin,$77.97,+0.67%,$359.26 M,$5.5 B
Wrapped TRON,$0.05409,-0.08%,"$703,186",$5.5 B
HEX,$0.03113,-2.82%,$4.85 M,$5.4 B
Shiba Inu,$0.000009557,+1.81%,$109.2 M,$5.14 B
TRON,$0.05399,-0.56%,$157.03 M,$4.97 B
Solana,$14.19,+0.25%,$187.42 M,$4.93 B
Uniswap,$6.31,+3.81%,$165.06 M,$4.73 B
Lido stETH,"$1,243.10",-0.43%,$5.43 M,$4.34 B
Avalanche,$13.75,+4.13%,$194.31 M,$4.2 B
Chainlink,$7.52,-2.22%,$218.48 M,$3.77 B
UNUS SED LEO,$3.79,+0.26%,$3.67 M,$3.62 B
Wrapped Bitcoin,"$17,139.09",+0.04%,$63.85 M,$3.55 B
Cosmos,$10.41,-0.02%,$84.89 M,$2.93 B
Ethereum Classic,$19.92,-0.01%,$104.87 M,$2.7 B
Monero,$145.62,+0.73%,$77.39 M,$2.65 B
Stellar,$0.0893,+0.13%,$47.92 M,$2.26 B
Toncoin,$1.79,+0.27%,$6.11 M,$2.19 B
Bitcoin Cash,$113.26,+1.26%,$141.31 M,$2.14 B
Algorand,$0.2442,-0.93%,$57.33 M,$1.71 B
Cronos,$0.06509,-0.16%,$14.39 M,$1.63 B
Quant,$134.01,+6.64%,$48.98 M,$1.59 B
Filecoin,$4.62,-1.97%,$100.7 M,$1.5 B
NEAR Protocol,$1.74,-2.11%,$62.26 M,$1.43 B
ApeCoin,$4.01,-1.07%,$122.43 M,$1.43 B
VeChain,$0.01995,+0.94%,$37.08 M,$1.4 B
OKB,$22.02,+0.35%,$13.45 M,$1.32 B
Internet Computer,$4.29,-0.41%,$40.87 M,$1.16 B
Flow,$1.11,-0.54%,$19.98 M,$1.13 B
Hedera,$0.05064,-0.85%,$10.94 M,$1.1 B
Wrapped BNB,$291.39,+0.53%,$63.23 M,$1.1 B
Luna Classic,$0.0001988,-0.41%,$116.1 M,$1.07 B
Elrond,$44.52,+1.30%,$16.4 M,$1.04 B
Huobi Token,$6.76,+0.44%,$12.27 M,$1.04 B
Chiliz,$0.1715,+2.07%,$245.47 M,$1.04 B
Frax,$0.9958,-0.12%,$9.42 M,$1.01 B
EOS,$0.9541,+0.30%,$79.56 M,$1.01 B
Trust Wallet Token,$2.33,-5.59%,$93.37 M,$972.01 M
Pax Dollar,$0.9996,-0.03%,$1.25 M,$945.24 M
